WORKFLOW_ID,RUNTIME,EXECUTOR,CAPABILITY,RISK,APPROVAL_REQUIRED,STATE,PROVENANCE,EVIDENCE
so:wf:v1:whatsapp-status,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-sync-status,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-worker-status,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-queue,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-doctor,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,BLOCKED,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+block_reason=META_NOT_CONFIGURED_AND_ADMIN_API_UNAVAILABLE
so:wf:v1:whatsapp-contacts,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-report,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-meta-status,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MONITORING,L0,false,BLOCKED,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+block_reason=META_PHONE_NUMBER_ID_PLACEHOLDER
so:wf:v1:whatsapp-maintenance-15min,TCC,/home/schattenmacher/whatsapp-agent/scripts/run-maintenance.sh,WHATSAPP_MONITORING,L0,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-maintenance-hourly,TCC,/home/schattenmacher/whatsapp-agent/scripts/run-maintenance.sh,WHATSAPP_MAINTENANCE,L1,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-maintenance-daily,TCC,/home/schattenmacher/whatsapp-agent/scripts/run-maintenance.sh,WHATSAPP_MAINTENANCE,L1,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-backup,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MAINTENANCE,L1,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-worker-drain,TCC,/home/schattenmacher/whatsapp-agent/scripts/run-worker.sh,WHATSAPP_MAINTENANCE,L1,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-retry-all,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_MAINTENANCE,L1,false,RUNNABLE,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+executor_exists=true
so:wf:v1:whatsapp-purge-expired,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_ACTION,L2,true,BLOCKED,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+approval_required
so:wf:v1:whatsapp-meta-subscribe,TCC,/home/schattenmacher/whatsapp-agent/scripts/whatsapp-agent,WHATSAPP_ACTION,L2,true,BLOCKED,EVIDENCED_IN_EXTERNAL_RUNTIME,tcc.json+verified_app/data/workflows.json:1+approval_required
